Common Name,Class ID,Scientific Name,Alternate/Local Names,Therapeutic Uses,Preparation,Caution
aloevera,0.0,Aloe vera,"Ghritkumari (Hindi), Kalabanda (Telugu)","Soothes skin irritations, promotes wound healing, aids digestion, anti-inflammatory.",Gel extracted from leaves; applied topically or consumed in small quantities.,Excessive oral consumption may cause gastrointestinal discomfort; consult a healthcare provider.
amla,1.0,Phyllanthus emblica,"Nellikai (Tamil), Usirikaya (Telugu)","Rich in vitamin C; boosts immunity, aids digestion, supports heart health.","Consumed raw, pickled, or as juice; also used in powdered form.",May interact with blood-thinning medications; use with caution.
amruta_balli,2.0,Tinospora cordifolia,"Guduchi (Hindi), Giloy, Amrutha Balli (Kannada)","Boosts immunity, reduces fever, anti-inflammatory, anti-diabetic",Stems boiled in water for decoction; juice extracted for consumption,Avoid during pregnancy; may lower blood sugar excessively in diabetics
amruthaballi,3.0,Tinospora cordifolia,"Giloy (Hindi), Guduchi","Boosts immunity, treats fever, diabetes management, detoxification.",Stem juice or decoction; used in powder form.,May lower blood sugar; monitor closely when on diabetes medication.
arali,4.0,Nerium oleander,"Kaner (Hindi), Arali (Kannada)",Traditionally used for heart-related conditions and skin diseases.,Used in very small amounts under supervision; often used externally.,Highly toxic; not recommended for internal use without medical supervision.
ashoka,5.0,Saraca asoca,"Ashoka Tree (English), Asokam (Malayalam)","Regulates menstrual disorders, relieves pain, promotes uterine health",Bark used in decoctions and powders,Avoid long-term usage without medical guidance
ashwagandha,6.0,Withania somnifera,"Indian Ginseng, Winter Cherry","Adaptogen; helps manage stress, improves energy, supports cognitive function.",Roots dried and ground into powder; consumed with milk or water.,Not recommended for pregnant women; may cause drowsiness or interact with medications.
astma_weed,7.0,Euphorbia hirta,"Dudhi (Hindi), Asthma Weed","Used to treat asthma, bronchitis, and respiratory conditions.",Infusion or decoction of whole plant.,Should not be used during pregnancy; excessive use may irritate the gastrointestinal tract.
avacado,8.0,Persea americana,Butter Fruit,"Rich in healthy fats; supports heart health, reduces inflammation",Consumed raw as fruit or blended in smoothies,High-calorie; eat in moderation
badipala,9.0,Abutilon indicum,"Thuthi (Tamil), Atibala (Sanskrit)","Anti-inflammatory, used in treating ulcers and respiratory issues.",Leaves used in decoctions and poultices.,Consult a practitioner before prolonged use.
balloon_vine,10.0,Cardiospermum halicacabum,"Balloon vine, Love in a puff, Mudakathan keerai (Tamil)","Anti-inflammatory, treats joint pain and arthritis, supports skin health.",Leaves used in decoctions or ground into paste; consumed as soup or applied topically.,Avoid excessive intake; consult with healthcare provider during pregnancy.
bamboo,11.0,Bambusa vulgaris,"Common Bamboo, Vengai (Tamil), Mulabagilu (Kannada)","Supports bone health, diuretic, used in respiratory disorders.",Tender shoots consumed after boiling; leaves used in decoctions.,Raw shoots may contain toxins; must be properly prepared.
basale,12.0,Basella alba,"Malabar Spinach, Poi saag (Hindi), Basale soppu (Kannada)","Rich in iron and vitamins; treats anemia, improves digestion.",Cooked as leafy vegetable; used in soups and stews.,May cause bloating in some individuals if consumed in excess.
beans,13.0,Phaseolus vulgaris,"Common Bean, French Bean, Huralikayi (Kannada)",High in protein and fiber; helps regulate blood sugar.,Pods and seeds cooked and consumed as vegetable.,Raw beans are toxic; must be thoroughly cooked.
betel,14.0,Piper betle,"Betel Leaf, Vetrilai (Tamil), Taamalapaaku (Telugu)","Aids digestion, antibacterial, improves oral health.",Leaves chewed directly or used in decoctions.,Overuse may cause oral irritation or staining of teeth.
betel_nut,15.0,Areca catechu,"Supari (Hindi), Adike (Kannada)",Used traditionally to aid digestion and as a stimulant.,Nuts are dried and chewed; sometimes mixed with betel leaves.,Linked to oral health issues and potentially carcinogenic; use with caution.
bhrami,16.0,Bacopa monnieri,"Jal Brahmi (Hindi), Neer Brahmi (Tamil)","Improves memory, reduces anxiety, acts as a brain tonic.","Consumed as juice, powder, or capsules.",May cause nausea or dry mouth in some people.
brahmi,17.0,Bacopa monnieri,"Jal Brahmi (Hindi), Neer Brahmi (Tamil)","Cognitive enhancement, stress reduction, epilepsy management.",Taken in syrup or capsule form; sometimes infused in tea.,Avoid high doses; can interact with sedatives.
bringaraja,18.0,Eclipta prostrata,"Bhringraj (Hindi), Karisalankanni (Tamil)","Promotes hair growth, supports liver function, skin health.",Leaves used in oils or juices for hair and liver tonics.,Consult healthcare provider for internal use.
camphor,19.0,Cinnamomum camphora,"Kapur (Hindi), Pachai Karpooram (Tamil)","Used externally to relieve pain, inflammation, and congestion.",Camphor oil or balm applied to chest or joints.,Toxic if ingested in large quantities; use externally only.
caricature,20.0,Graptophyllum pictum,"Black Face General, Krishna Kamal (local)","Used for piles, swelling, and earaches",Leaf paste applied topically; decoction for internal use,Use under medical supervision
castor,21.0,Ricinus communis,"Erand (Hindi), Haralu (Kannada)","Treats constipation, joint pain, skin disorders",Seeds processed to extract oil; leaves used in poultices,Raw seeds are toxic; use oil only as directed
catharanthus,22.0,Catharanthus roseus,"Madagascar periwinkle, Sadafuli (Hindi)",Used in Ayurveda for diabetes and cancer treatment; contains vincristine and vinblastine.,Leaves and extracts used under medical supervision; alkaloid extraction for pharmaceuticals.,Toxic if used without supervision; must not be consumed raw.
chakte,23.0,Alstonia scholaris,"Devil’s Tree, Satvin (Hindi)","Treats respiratory issues, fever, and skin problems.",Bark powder or decoction used traditionally.,Should not be used in pregnancy; large doses may be toxic.
chilly,24.0,Capsicum annuum,"Mirchi (Hindi), Molagai (Tamil)","Stimulates metabolism, aids digestion, and provides antioxidants.",Used in culinary and medicinal chutneys or pastes.,Can cause irritation or burning; avoid contact with eyes.
citron_lime_(herelikai),25.0,Citrus aurantiifolia,"Herelikai (Kannada), Kagzi Nimbu (Hindi)","Rich in vitamin C; aids digestion, treats scurvy, boosts immunity.","Juice used in drinks, salads; rind used for flavor.",May cause acid reflux in sensitive individuals.
coffee,26.0,Coffea arabica,"Coffee (English), Kaapi (Kannada)","Stimulates the central nervous system, enhances alertness, antioxidant-rich.",Roasted and ground seeds brewed as a beverage.,"Excess intake may lead to insomnia, increased heart rate."
common_rue(naagdalli),27.0,Ruta graveolens,"Naagdalli (Kannada), Common Rue","Traditionally used for menstrual disorders, inflammation, and as a sedative.",Leaves used in teas or poultices in small amounts.,Toxic in large doses; avoid during pregnancy.
coriender,28.0,Coriandrum sativum,"Coriander, Dhania (Hindi), Kottambari (Kannada)","Digestive aid, antimicrobial, anti-inflammatory.",Leaves and seeds used in cooking and herbal remedies.,Rare allergic reactions; usually safe.
curry,29.0,Murraya koenigii,"Curry Leaf, Karuveppilai (Tamil), Karibevu (Kannada)","Improves digestion, supports liver function, controls blood sugar.","Used in cooking, decoctions, or consumed raw.",Safe in culinary amounts; medicinal doses should be monitored.
curry_leaf,30.0,Murraya koenigii,"Karivepaku (Telugu), Karivepillai (Tamil)",Similar to curry leaf; antioxidant and antidiabetic properties.,"Used in chutneys, curries, and herbal tonics.",Generally safe.
